pollster,date,sampleSize,marginError,dvalue,rvalue,Year,Type,state
UT/Texas Tribune,2020-02-09 00:00:00,,2.8,43.0,47.0,2020,Presidential,Texas
Dallas Morning News,2020-01-30 00:00:00,915.0,3.2,44.0,46.0,2020,Presidential,Texas
Texas Lyceum,2020-01-19 00:00:00,520.0,4.3,46.0,51.0,2020,Presidential,Texas
CNN,2020-12-08 00:00:00,,3.7,47.0,48.0,2020,Presidential,Texas
UT/Texas Tribune,2020-10-27 00:00:00,1200.0,2.8,39.0,46.0,2020,Presidential,Texas
DMN/Emerson,2020-08-03 00:00:00,,3.0,51.0,49.0,2020,Presidential,Texas
Quinnipiac,2020-06-04 00:00:00,,3.4,48.0,44.0,2020,Presidential,Texas
Emerson,2020-04-28 00:00:00,,3.4,50.0,49.0,2020,Presidential,Texas
Quinnipiac,2020-02-25 00:00:00,,3.4,46.0,47.0,2020,Presidential,Texas
Y2 Analytics,2020-10-24 00:00:00,660.0,3.8,44.0,51.0,2020,Presidential,Utah
Deseret News/Hinckley Inst.*,2020-10-17 00:00:00,1000.0,3.1,38.0,50.0,2020,Presidential,Utah
Y2 Analytics,2020-10-04 00:00:00,1214.0,2.8,40.0,50.0,2020,Presidential,Utah
Deseret News/Hinckley Inst.*,2020-09-12 00:00:00,1000.0,3.1,35.0,53.0,2020,Presidential,Utah
Deseret News/Hinckley Inst.*,2020-08-01 00:00:00,,3.1,31.0,50.0,2020,Presidential,Utah
KUTV-2/Y2 Analytics*,2020-05-15 00:00:00,1078.0,3.0,40.0,46.0,2020,Presidential,Utah
Deseret News/Hinckley Inst.*,2020-04-21 00:00:00,,3.2,32.0,51.0,2020,Presidential,Utah
KUTV-2/Y2 Analytics*,2020-03-30 00:00:00,1331.0,2.8,41.0,46.0,2020,Presidential,Utah
Deseret News/Hinckley Inst.*,2020-03-01 00:00:00,,3.1,33.0,50.0,2020,Presidential,Utah
Deseret News/Hinckley Inst.*,2020-01-22 00:00:00,,3.1,31.0,49.0,2020,Presidential,Utah
Vermont Public Radio,2020-09-15 00:00:00,586.0,4.0,56.0,32.0,2020,Presidential,Vermont
rcp_average,2020-12-31 00:00:00,,,51.7,40.3,2020,Presidential,Virginia
Roanoke College*,2020-10-29 00:00:00,802.0,3.5,53.0,42.0,2020,Presidential,Virginia
VCU,2020-10-22 00:00:00,709.0,4.9,51.0,39.0,2020,Presidential,Virginia
Christopher Newport Univ.,2020-10-27 00:00:00,908.0,3.4,53.0,41.0,2020,Presidential,Virginia
Washington Post,2020-10-19 00:00:00,908.0,4.0,52.0,41.0,2020,Presidential,Virginia
Roanoke College*,2020-10-12 00:00:00,602.0,5.4,54.0,39.0,2020,Presidential,Virginia
Christopher Newport Univ.,2020-09-21 00:00:00,796.0,3.3,48.0,43.0,2020,Presidential,Virginia
VCU,2020-09-07 00:00:00,693.0,6.2,53.0,39.0,2020,Presidential,Virginia
Roanoke College,2020-08-22 00:00:00,566.0,4.1,53.0,39.0,2020,Presidential,Virginia
VCU,2020-07-19 00:00:00,725.0,6.2,50.0,39.0,2020,Presidential,Virginia
Roanoke College,2020-05-17 00:00:00,563.0,4.1,51.0,39.0,2020,Presidential,Virginia
VCU,2020-04-08 00:00:00,663.0,5.7,51.0,41.0,2020,Presidential,Virginia
Hampton University,2020-02-28 00:00:00,,3.8,45.0,38.0,2020,Presidential,Virginia
Roanoke College,2020-02-18 00:00:00,520.0,4.3,48.0,40.0,2020,Presidential,Virginia
Mason-Dixon,2020-12-16 00:00:00,,4.0,49.0,45.0,2020,Presidential,Virginia
Univ. of Mary Washington,2020-09-15 00:00:00,,3.3,55.0,38.0,2020,Presidential,Virginia
rcp_average,2020-10-12 00:00:00,,,56.5,35.0,2020,Presidential,Washington
KING-TV/SurveyUSA,2020-10-12 00:00:00,591.0,5.2,55.0,34.0,2020,Presidential,Washington
KOMO/Strategies 360,2020-09-14 00:00:00,,4.4,58.0,36.0,2020,Presidential,Washington
KING-TV/SurveyUSA,2020-07-27 00:00:00,534.0,5.2,62.0,28.0,2020,Presidential,Washington
KING-TV/SurveyUSA,2020-05-19 00:00:00,530.0,5.5,57.0,31.0,2020,Presidential,Washington
KING-TV/SurveyUSA,2020-03-06 00:00:00,,3.7,57.0,34.0,2020,Presidential,Washington
WMOV,2020-10-20 00:00:00,544.0,4.2,38.0,58.0,2020,Presidential,West Virginia
MetroNews*,2020-10-09 00:00:00,450.0,4.6,39.0,53.0,2020,Presidential,West Virginia
WMOV,2020-09-30 00:00:00,,4.3,38.0,56.0,2020,Presidential,West Virginia
rcp_average,2020-11-01 00:00:00,,,51.0,44.3,2020,Presidential,Wisconsin
CNBC/Change Research (D),2020-11-01 00:00:00,553.0,,53.0,45.0,2020,Presidential,Wisconsin
Susquehanna*,2020-10-31 00:00:00,450.0,4.7,49.0,46.0,2020,Presidential,Wisconsin
Emerson,2020-10-30 00:00:00,751.0,3.5,53.0,45.0,2020,Presidential,Wisconsin
Reuters/Ipsos*,2020-11-01 00:00:00,696.0,4.2,53.0,43.0,2020,Presidential,Wisconsin
NY Times/Siena*,2020-10-30 00:00:00,1253.0,3.2,52.0,41.0,2020,Presidential,Wisconsin
Trafalgar Group (R)*,2020-10-25 00:00:00,1082.0,2.9,48.0,47.0,2020,Presidential,Wisconsin
CNN*,2020-10-30 00:00:00,873.0,3.9,52.0,44.0,2020,Presidential,Wisconsin
Marquette*,2020-10-25 00:00:00,749.0,4.4,48.0,43.0,2020,Presidential,Wisconsin
Reuters/Ipsos,2020-10-26 00:00:00,664.0,4.0,53.0,44.0,2020,Presidential,Wisconsin
ABC News/Wash Post*,2020-10-25 00:00:00,789.0,4.0,57.0,40.0,2020,Presidential,Wisconsin
FOX News*,2020-10-20 00:00:00,1037.0,3.0,49.0,44.0,2020,Presidential,Wisconsin
Susquehanna*,2020-10-19 00:00:00,500.0,4.3,45.0,45.0,2020,Presidential,Wisconsin
CNBC/Change Research (D),2020-10-19 00:00:00,,,52.0,44.0,2020,Presidential,Wisconsin
Trafalgar Group (R)*,2020-10-16 00:00:00,1051.0,2.9,48.0,46.0,2020,Presidential,Wisconsin
U. of Wisconsin/YouGov,2020-10-21 00:00:00,647.0,4.1,53.0,44.0,2020,Presidential,Wisconsin
Reuters/Ipsos,2020-10-19 00:00:00,663.0,4.0,51.0,43.0,2020,Presidential,Wisconsin
CBS News/YouGov,2020-10-16 00:00:00,1112.0,3.5,51.0,46.0,2020,Presidential,Wisconsin
Reuters/Ipsos,2020-10-11 00:00:00,511.0,5.0,51.0,44.0,2020,Presidential,Wisconsin
NY Times/Siena*,2020-10-11 00:00:00,789.0,4.0,51.0,41.0,2020,Presidential,Wisconsin
CNBC/Change Research (D),2020-10-04 00:00:00,442.0,,51.0,44.0,2020,Presidential,Wisconsin
Marquette*,2020-10-04 00:00:00,700.0,4.2,46.0,41.0,2020,Presidential,Wisconsin
Reuters/Ipsos,2020-10-05 00:00:00,601.0,5.0,50.0,44.0,2020,Presidential,Wisconsin
Susquehanna,2020-09-26 00:00:00,500.0,4.3,48.0,46.0,2020,Presidential,Wisconsin
Trafalgar Group (R)*,2020-09-24 00:00:00,1189.0,2.8,48.0,45.0,2020,Presidential,Wisconsin
NBC News/Marist,2020-09-24 00:00:00,727.0,4.6,54.0,44.0,2020,Presidential,Wisconsin
CNBC/Change Research (D),2020-09-20 00:00:00,571.0,,51.0,42.0,2020,Presidential,Wisconsin
Univ. of Wis/YouGov,2020-09-21 00:00:00,664.0,,50.0,46.0,2020,Presidential,Wisconsin
Reuters/Ipsos,2020-09-16 00:00:00,609.0,4.5,48.0,43.0,2020,Presidential,Wisconsin
ABC News/Wash Post,2020-09-13 00:00:00,605.0,4.5,52.0,46.0,2020,Presidential,Wisconsin
CNN*,2020-09-13 00:00:00,816.0,4.2,52.0,42.0,2020,Presidential,Wisconsin
NY Times/Siena*,2020-09-10 00:00:00,760.0,4.7,48.0,43.0,2020,Presidential,Wisconsin
Emerson,2020-09-08 00:00:00,823.0,3.4,51.0,44.0,2020,Presidential,Wisconsin
CNBC/Change Research (D),2020-09-06 00:00:00,,,50.0,44.0,2020,Presidential,Wisconsin
CBS News/YouGov,2020-09-04 00:00:00,978.0,,50.0,44.0,2020,Presidential,Wisconsin
Rasmussen Reports,2020-09-02 00:00:00,1000.0,3.0,51.0,43.0,2020,Presidential,Wisconsin
Marquette*,2020-09-03 00:00:00,688.0,,47.0,43.0,2020,Presidential,Wisconsin
FOX News*,2020-09-01 00:00:00,801.0,3.5,50.0,42.0,2020,Presidential,Wisconsin
CNBC/Change Research (D),2020-08-23 00:00:00,925.0,,49.0,44.0,2020,Presidential,Wisconsin
Trafalgar Group (R)*,2020-08-23 00:00:00,1011.0,3.0,45.0,46.0,2020,Presidential,Wisconsin
CNBC/Change Research (D),2020-08-09 00:00:00,384.0,,47.0,43.0,2020,Presidential,Wisconsin
Marquette,2020-08-09 00:00:00,694.0,4.2,50.0,46.0,2020,Presidential,Wisconsin
CBS News/YouGov,2020-08-07 00:00:00,1211.0,3.8,48.0,42.0,2020,Presidential,Wisconsin
Rasmussen Reports,2020-08-06 00:00:00,750.0,,55.0,43.0,2020,Presidential,Wisconsin
Univ. of Wis/YouGov,2020-08-06 00:00:00,,4.9,49.0,43.0,2020,Presidential,Wisconsin
CNBC/Change Research (D),2020-07-26 00:00:00,392.0,,48.0,43.0,2020,Presidential,Wisconsin
Gravis,2020-07-22 00:00:00,,3.5,50.0,42.0,2020,Presidential,Wisconsin
CNBC/Change Research (D),2020-07-12 00:00:00,601.0,,48.0,42.0,2020,Presidential,Wisconsin
CNBC/Change Research (D),2020-06-28 00:00:00,502.0,,51.0,43.0,2020,Presidential,Wisconsin
Trafalgar Group (R),2020-06-25 00:00:00,1021.0,3.0,45.0,46.0,2020,Presidential,Wisconsin
Marquette,2020-06-18 00:00:00,,4.3,49.0,41.0,2020,Presidential,Wisconsin
CNBC/Change Research (D),2020-06-14 00:00:00,231.0,,48.0,44.0,2020,Presidential,Wisconsin
NY Times/Siena,2020-06-15 00:00:00,,4.3,49.0,38.0,2020,Presidential,Wisconsin
FOX News,2020-06-02 00:00:00,,3.5,49.0,40.0,2020,Presidential,Wisconsin
CNBC/Change Research (D),2020-05-31 00:00:00,382.0,,45.0,45.0,2020,Presidential,Wisconsin
Marquette,2020-05-07 00:00:00,,4.0,46.0,43.0,2020,Presidential,Wisconsin
Marquette,2020-03-29 00:00:00,,4.2,48.0,45.0,2020,Presidential,Wisconsin
PPP (D),2020-03-11 00:00:00,,2.4,48.0,45.0,2020,Presidential,Wisconsin
Yahoo News,2020-03-08 00:00:00,,,44.0,42.0,2020,Presidential,Wisconsin
Marquette,2020-02-23 00:00:00,,3.6,46.0,46.0,2020,Presidential,Wisconsin
Univ. of Wis/YouGov,2020-02-20 00:00:00,,4.0,45.0,43.0,2020,Presidential,Wisconsin
Quinnipiac,2020-02-18 00:00:00,,3.4,42.0,49.0,2020,Presidential,Wisconsin
Marquette,2020-01-12 00:00:00,,4.1,49.0,45.0,2020,Presidential,Wisconsin
FOX News,2020-01-08 00:00:00,,2.5,46.0,41.0,2020,Presidential,Wisconsin
Marquette,2020-12-08 00:00:00,,4.1,47.0,46.0,2020,Presidential,Wisconsin
Marquette,2020-11-17 00:00:00,,4.1,44.0,47.0,2020,Presidential,Wisconsin
NY Times/Siena,2020-10-26 00:00:00,651.0,4.4,46.0,44.0,2020,Presidential,Wisconsin
Marquette,2020-10-17 00:00:00,,4.2,50.0,44.0,2020,Presidential,Wisconsin
FOX News,2020-10-02 00:00:00,,2.5,48.0,39.0,2020,Presidential,Wisconsin
Marquette,2020-08-29 00:00:00,,3.9,51.0,42.0,2020,Presidential,Wisconsin
Emerson,2020-03-17 00:00:00,,3.5,54.0,46.0,2020,Presidential,Wisconsin
University of Wyoming,2020-10-28 00:00:00,614.0,4.0,31.0,59.0,2020,Presidential,Wyoming
Auburn Univ.,2020-10-28 00:00:00,853.0,4.4,43.0,54.0,2020,Senate,Alabama
Auburn Univ.,2020-10-03 00:00:00,,4.0,42.0,54.0,2020,Senate,Alabama
AL Daily News/Mason-Dixon,2020-02-06 00:00:00,,4.0,42.0,50.0,2020,Senate,Alabama
Auburn Univ.,2023-12-12 20:20:00,853.0,4.4,43.0,54.0,2020,Senate,Alabama
U. of Colorado/YouGov,2020-10-09 00:00:00,800.0,4.6,48.0,40.0,2020,Senate,Colorado
KUSA/SurveyUSA,2020-10-06 00:00:00,1109.0,3.9,48.0,39.0,2020,Senate,Colorado
U. of Colorado/YouGov,2023-12-12 20:20:00,800.0,4.6,48.0,40.0,2020,Senate,Colorado
University of Delaware*,2020-09-27 00:00:00,847.0,4.0,57.0,27.0,2020,Senate,Delaware
rcp_average,2020-11-02 00:00:00,,,45.8,47.2,2020,Senate,Iowa
PPP (D),2020-11-02 00:00:00,871.0,,48.0,47.0,2020,Senate,Iowa
InsiderAdvantage*,2020-10-30 00:00:00,400.0,4.9,45.0,51.0,2020,Senate,Iowa
Emerson,2020-10-30 00:00:00,604.0,3.9,48.0,44.0,2020,Senate,Iowa
Des Moines Register,2020-10-29 00:00:00,814.0,3.4,42.0,46.0,2020,Senate,Iowa
Quinnipiac,2020-10-27 00:00:00,1225.0,2.8,46.0,48.0,2020,Senate,Iowa
Who-TV 13**,2020-10-24 00:00:00,693.0,4.0,51.0,45.0,2020,Senate,Iowa
Emerson,2020-10-21 00:00:00,435.0,4.7,45.0,46.0,2020,Senate,Iowa
NY Times/Siena*,2020-10-20 00:00:00,753.0,3.9,44.0,45.0,2020,Senate,Iowa
InsiderAdvantage*,2020-10-19 00:00:00,400.0,4.9,48.0,43.0,2020,Senate,Iowa
Monmouth*,2020-10-19 00:00:00,501.0,4.4,49.0,47.0,2020,Senate,Iowa
CBS News/YouGov,2020-10-09 00:00:00,1035.0,3.5,47.0,43.0,2020,Senate,Iowa
Quinnipiac,2020-10-05 00:00:00,1256.0,2.8,50.0,45.0,2020,Senate,Iowa
Who-TV 13**,2020-09-26 00:00:00,780.0,4.0,51.0,39.0,2020,Senate,Iowa
Monmouth*,2020-09-22 00:00:00,402.0,4.9,49.0,46.0,2020,Senate,Iowa
NY Times/Siena*,2020-09-21 00:00:00,501.0,5.0,42.0,40.0,2020,Senate,Iowa
Des Moines Register,2020-09-17 00:00:00,658.0,3.8,45.0,42.0,2020,Senate,Iowa
Monmouth*,2020-08-03 00:00:00,401.0,4.9,47.0,48.0,2020,Senate,Iowa
Des Moines Register,2020-06-10 00:00:00,674.0,3.8,46.0,43.0,2020,Senate,Iowa
PPP (D),2020-05-01 00:00:00,,2.8,42.0,43.0,2020,Senate,Iowa
rcp_average,2023-12-12 20:20:00,,,45.8,47.2,2020,Senate,Iowa
NY Times/Siena*,2020-10-20 00:00:00,755.0,4.0,42.0,46.0,2020,Senate,Kansas
SurveyUSA,2020-08-09 00:00:00,1202.0,3.3,44.0,46.0,2020,Senate,Kansas
NY Times/Siena*,2023-12-12 20:20:00,755.0,4.0,42.0,46.0,2020,Senate,Kansas
Mason-Dixon*,2020-10-15 00:00:00,625.0,4.0,42.0,51.0,2020,Senate,Kentucky
Quinnipiac,2020-09-14 00:00:00,1164.0,2.9,41.0,53.0,2020,Senate,Kentucky
Quinnipiac,2020-08-03 00:00:00,,3.3,44.0,49.0,2020,Senate,Kentucky
Mason-Dixon*,2023-12-12 20:20:00,625.0,4.0,42.0,51.0,2020,Senate,Kentucky
rcp_average,2020-12-31 00:00:00,,,45.3,41.3,2020,Senate,Maine
Emerson*,2020-10-31 00:00:00,611.0,3.9,48.0,42.0,2020,Senate,Maine
Colby College*,2020-10-25 00:00:00,879.0,3.3,47.0,43.0,2020,Senate,Maine
Pan Atlantic*,2020-10-06 00:00:00,600.0,4.5,47.0,40.0,2020,Senate,Maine
Bangor Daily News*,2020-10-04 00:00:00,466.0,,44.0,43.0,2020,Senate,Maine
Colby College*,2020-09-23 00:00:00,847.0,3.4,45.0,41.0,2020,Senate,Maine
Boston Globe/Suffolk*,2020-09-20 00:00:00,500.0,4.4,46.0,41.0,2020,Senate,Maine
NY Times/Siena*,2020-09-16 00:00:00,663.0,5.1,49.0,44.0,2020,Senate,Maine
Quinnipiac,2020-09-14 00:00:00,1183.0,2.9,54.0,42.0,2020,Senate,Maine
Bangor Daily News,2020-08-09 00:00:00,,,43.0,38.0,2020,Senate,Maine
Quinnipiac,2020-08-03 00:00:00,,3.5,47.0,43.0,2020,Senate,Maine
Colby College,2020-06-24 00:00:00,888.0,3.9,44.0,39.0,2020,Senate,Maine
PPP (D),2020-07-03 00:00:00,,3.1,46.0,42.0,2020,Senate,Maine
PPP (D),2020-03-03 00:00:00,,3.3,47.0,43.0,2020,Senate,Maine
Colby College/Socialsphere,2020-02-13 00:00:00,,3.2,43.0,42.0,2020,Senate,Maine
rcp_average,2023-12-12 20:20:00,,,45.3,41.3,2020,Senate,Maine
MassINC,2020-10-30 00:00:00,929.0,,60.0,29.0,2020,Senate,Massachusetts
MassINC,2023-12-12 20:20:00,929.0,,60.0,29.0,2020,Senate,Massachusetts
rcp_average,2020-12-31 00:00:00,,,47.3,42.3,2020,Senate,Minnesota
SurveyUSA,2020-10-27 00:00:00,649.0,4.6,45.0,42.0,2020,Senate,Minnesota
KSTP/SurveyUSA,2020-10-20 00:00:00,625.0,5.0,43.0,42.0,2020,Senate,Minnesota
MinnPost*,2020-10-15 00:00:00,1021.0,3.1,48.0,44.0,2020,Senate,Minnesota
KSTP/SurveyUSA,2020-10-06 00:00:00,929.0,3.9,44.0,37.0,2020,Senate,Minnesota
Star Tribune/Mason-Dixon,2020-09-23 00:00:00,800.0,3.5,49.0,41.0,2020,Senate,Minnesota
USA Today/Suffolk*,2020-09-24 00:00:00,500.0,4.4,45.0,35.0,2020,Senate,Minnesota
CBS News/YouGov,2020-09-11 00:00:00,1087.0,,47.0,40.0,2020,Senate,Minnesota
NY Times/Siena,2020-09-10 00:00:00,814.0,3.9,49.0,40.0,2020,Senate,Minnesota
KSTP/SurveyUSA,2020-09-07 00:00:00,553.0,5.2,47.0,36.0,2020,Senate,Minnesota
PPP (D),2020-09-04 00:00:00,,3.3,49.0,41.0,2020,Senate,Minnesota
Emerson,2020-08-10 00:00:00,,3.6,48.0,45.0,2020,Senate,Minnesota
rcp_average,2023-12-12 20:20:00,,,47.3,42.3,2020,Senate,Minnesota
Mason-Dixon,2020-02-28 00:00:00,,4.0,43.0,53.0,2020,Senate,Mississippi
Mason-Dixon,2023-12-12 20:20:00,,4.0,43.0,53.0,2020,Senate,Mississippi
rcp_average,2020-12-31 00:00:00,,,46.4,48.8,2020,Senate,Montana
MSU-Billings*,2020-10-24 00:00:00,546.0,4.2,48.0,47.0,2020,Senate,Montana
NY Times/Siena*,2020-10-20 00:00:00,758.0,4.4,46.0,49.0,2020,Senate,Montana
NBC-MT/Strategies 360,2020-10-20 00:00:00,500.0,4.4,47.0,48.0,2020,Senate,Montana
PPP (D),2020-10-10 00:00:00,798.0,3.5,48.0,48.0,2020,Senate,Montana
Emerson,2020-10-07 00:00:00,500.0,4.3,43.0,52.0,2020,Senate,Montana
NY Times/Siena*,2020-09-16 00:00:00,625.0,4.8,44.0,45.0,2020,Senate,Montana
Emerson,2020-08-02 00:00:00,584.0,4.0,44.0,50.0,2020,Senate,Montana
PPP (D),2020-07-10 00:00:00,,2.8,46.0,44.0,2020,Senate,Montana
rcp_average,2023-12-12 20:20:00,,,46.4,48.8,2020,Senate,Montana
rcp_average,2020-12-31 00:00:00,,,54.0,38.4,2020,Senate,New Hampshire
St. Anselm*,2020-10-26 00:00:00,1018.0,3.1,54.0,39.0,2020,Senate,New Hampshire
UNH*,2020-10-24 00:00:00,864.0,3.3,54.0,43.0,2020,Senate,New Hampshire
UMass Lowell,2020-10-26 00:00:00,757.0,4.5,57.0,38.0,2020,Senate,New Hampshire
UNH*,2020-10-12 00:00:00,899.0,3.3,55.0,40.0,2020,Senate,New Hampshire
Boston Globe/Suffolk*,2020-10-12 00:00:00,500.0,4.4,51.0,36.0,2020,Senate,New Hampshire
St. Anselm*,2020-10-04 00:00:00,1147.0,2.9,53.0,39.0,2020,Senate,New Hampshire
Emerson,2020-10-01 00:00:00,700.0,3.6,55.0,40.0,2020,Senate,New Hampshire
UNH*,2020-09-28 00:00:00,972.0,3.1,54.0,41.0,2020,Senate,New Hampshire
UMass Lowell,2020-09-25 00:00:00,657.0,4.6,56.0,37.0,2020,Senate,New Hampshire
UNH*,2020-09-01 00:00:00,1889.0,2.3,54.0,36.0,2020,Senate,New Hampshire
UNH,2020-07-28 00:00:00,1893.0,,54.0,35.0,2020,Senate,New Hampshire
UNH,2020-06-22 00:00:00,932.0,2.8,50.0,37.0,2020,Senate,New Hampshire
UNH,2020-05-18 00:00:00,788.0,3.2,50.0,34.0,2020,Senate,New Hampshire
UNH,2020-02-25 00:00:00,,4.1,52.0,28.0,2020,Senate,New Hampshire
rcp_average,2023-12-12 20:20:00,,,54.0,38.4,2020,Senate,New Hampshire
Rutgers-Eagleton,2020-10-24 00:00:00,872.0,4.0,61.0,31.0,2020,Senate,New Jersey
Emerson,2020-09-07 00:00:00,500.0,4.4,52.0,28.0,2020,Senate,New Jersey
Monmouth,2020-04-19 00:00:00,,3.9,55.0,32.0,2020,Senate,New Jersey
Rutgers-Eagleton,2023-12-12 20:20:00,872.0,4.0,61.0,31.0,2020,Senate,New Jersey
rcp_average,2020-12-31 00:00:00,,,50.0,40.5,2020,Senate,New Mexico
Albuquerque Journal*,2020-10-29 00:00:00,1180.0,2.9,52.0,44.0,2020,Senate,New Mexico
PPP (D)*,2020-10-01 00:00:00,886.0,3.3,51.0,41.0,2020,Senate,New Mexico
Albuquerque Journal*,2020-09-02 00:00:00,1123.0,2.9,49.0,40.0,2020,Senate,New Mexico
PPP (D),2020-06-13 00:00:00,,3.6,48.0,34.0,2020,Senate,New Mexico
rcp_average,2023-12-12 20:20:00,,,50.0,40.5,2020,Senate,New Mexico
Sooner Poll*,2020-10-20 00:00:00,5466.0,1.3,37.0,56.0,2020,Senate,Oklahoma
Sooner Poll*,2020-09-08 00:00:00,486.0,,33.0,57.0,2020,Senate,Oklahoma
Sooner Poll*,2023-12-12 20:20:00,5466.0,1.3,37.0,56.0,2020,Senate,Oklahoma
rcp_average,2020-12-31 00:00:00,,,40.7,48.7,2020,Senate,South Carolina
East Carolina U.,2020-10-25 00:00:00,763.0,4.1,46.0,49.0,2020,Senate,South Carolina
NY Times/Siena*,2020-10-15 00:00:00,605.0,4.5,40.0,46.0,2020,Senate,South Carolina
Quinnipiac,2020-09-27 00:00:00,1123.0,2.9,48.0,48.0,2020,Senate,South Carolina
CBS News/YouGov,2020-09-25 00:00:00,1065.0,3.8,44.0,45.0,2020,Senate,South Carolina
Quinnipiac,2020-09-14 00:00:00,969.0,3.2,48.0,48.0,2020,Senate,South Carolina
Quinnipiac,2020-08-03 00:00:00,,3.3,44.0,44.0,2020,Senate,South Carolina
Gravis,2020-07-17 00:00:00,604.0,4.0,41.0,48.0,2020,Senate,South Carolina
NBC News/Marist,2020-02-21 00:00:00,,2.6,37.0,54.0,2020,Senate,South Carolina
East Carolina U.,2020-02-02 00:00:00,,2.7,38.0,51.0,2020,Senate,South Carolina
rcp_average,2023-12-12 20:20:00,,,40.7,48.7,2020,Senate,South Carolina
Nielson Brothers,2020-10-28 00:00:00,,5.1,39.0,56.0,2020,Senate,South Dakota
Nielson Brothers,2023-12-12 20:20:00,,5.1,39.0,56.0,2020,Senate,South Dakota
rcp_average,2020-12-31 00:00:00,,,54.0,38.3,2020,Senate,Virginia
Roanoke College,2020-10-29 00:00:00,802.0,3.5,55.0,39.0,2020,Senate,Virginia
VCU,2020-10-22 00:00:00,709.0,4.9,55.0,38.0,2020,Senate,Virginia
Christopher Newport Univ.,2020-10-27 00:00:00,908.0,3.4,57.0,37.0,2020,Senate,Virginia
Washington Post,2020-10-19 00:00:00,908.0,4.0,57.0,39.0,2020,Senate,Virginia
Roanoke College,2020-10-12 00:00:00,602.0,5.4,55.0,38.0,2020,Senate,Virginia
Christopher Newport Univ.,2020-09-21 00:00:00,796.0,3.3,52.0,39.0,2020,Senate,Virginia
VCU,2020-09-07 00:00:00,693.0,6.2,55.0,38.0,2020,Senate,Virginia
Roanoke College,2020-08-22 00:00:00,566.0,4.1,55.0,34.0,2020,Senate,Virginia
rcp_average,2023-12-12 20:20:00,,,54.0,38.3,2020,Senate,Virginia
University of Wyoming,2020-10-28 00:00:00,614.0,4.0,26.0,56.0,2020,Senate,Wyoming
University of Wyoming,2023-12-12 20:20:00,614.0,4.0,26.0,56.0,2020,Senate,Wyoming
University of Delaware*,2020-09-27 00:00:00,847.0,4.0,55.0,26.0,2020,Governor,Delaware
SurveyUSA*,2020-10-13 00:00:00,527.0,5.2,25.0,55.0,2020,Governor,Indiana
Indy Politics/Change Res. (D)*,2020-09-07 00:00:00,1033.0,3.1,30.0,36.0,2020,Governor,Indiana
Indy Politics/Change Res. (D)*,2020-04-13 00:00:00,1021.0,3.1,25.0,45.0,2020,Governor,Indiana
SurveyUSA*,2023-12-12 20:20:00,527.0,5.2,25.0,55.0,2020,Governor,Indiana
rcp_average,2020-12-31 00:00:00,,,40.3,52.0,2020,Governor,Missouri
Missouri Scout*,2020-10-29 00:00:00,1010.0,3.0,44.0,50.0,2020,Governor,Missouri
Missouri Scout*,2020-10-15 00:00:00,1010.0,,43.0,51.0,2020,Governor,Missouri
SLU/YouGov,2020-10-07 00:00:00,931.0,3.9,44.0,50.0,2020,Governor,Missouri
Missouri Scout,2020-10-01 00:00:00,980.0,3.3,44.0,51.0,2020,Governor,Missouri
Missouri Scout,2020-09-17 00:00:00,1046.0,3.0,43.0,52.0,2020,Governor,Missouri
WeAskAmerica,2020-09-03 00:00:00,500.0,4.4,41.0,54.0,2020,Governor,Missouri
Trafalgar Group (R)*,2020-08-28 00:00:00,1015.0,3.0,36.0,51.0,2020,Governor,Missouri
Missouri Scout,2020-08-13 00:00:00,1112.0,3.0,43.0,50.0,2020,Governor,Missouri
SLU/YouGov,2020-07-01 00:00:00,900.0,4.0,39.0,41.0,2020,Governor,Missouri
Missouri Scout,2020-06-11 00:00:00,1152.0,2.9,41.0,50.0,2020,Governor,Missouri
WeAskAmerica,2020-05-27 00:00:00,500.0,4.4,39.0,47.0,2020,Governor,Missouri
Missouri Scout,2020-04-29 00:00:00,1356.0,2.6,39.0,52.0,2020,Governor,Missouri
Missouri Scout,2020-03-12 00:00:00,1241.0,2.8,39.0,52.0,2020,Governor,Missouri
rcp_average,2023-12-12 20:20:00,,,40.3,52.0,2020,Governor,Missouri
rcp_average,2020-12-31 00:00:00,,,42.8,48.8,2020,Governor,Montana
MSU-Billings*,2020-10-24 00:00:00,546.0,4.2,45.0,45.0,2020,Governor,Montana
NY Times/Siena*,2020-10-20 00:00:00,758.0,4.4,44.0,48.0,2020,Governor,Montana
NBC-MT/Strategies 360*,2020-10-20 00:00:00,500.0,4.4,41.0,48.0,2020,Governor,Montana
Emerson,2020-10-07 00:00:00,500.0,4.3,41.0,54.0,2020,Governor,Montana
NY Times/Siena*,2020-09-16 00:00:00,625.0,4.8,39.0,45.0,2020,Governor,Montana
Emerson,2020-08-02 00:00:00,584.0,4.0,41.0,50.0,2020,Governor,Montana
PPP (D),2020-07-10 00:00:00,,2.8,42.0,46.0,2020,Governor,Montana
rcp_average,2023-12-12 20:20:00,,,42.8,48.8,2020,Governor,Montana
rcp_average,2020-12-31 00:00:00,,,35.5,58.0,2020,Governor,New Hampshire
St. Anselm*,2020-10-26 00:00:00,1018.0,3.1,35.0,60.0,2020,Governor,New Hampshire
UNH*,2020-10-24 00:00:00,864.0,3.3,36.0,60.0,2020,Governor,New Hampshire
